dteday,yr,holiday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,is_summer,is_fall,is_winter,mnth_cos,mnth_sin,weekday_cos,weekday_sin
2011-01-01,0,0,0,2,14.110847,18.18125,80.58330000000001,10.749882,985,0,0,0,0.8660254037844387,0.8660254037844387,1.0,1.0
2011-01-02,0,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,801,0,0,0,0.8660254037844387,0.8660254037844387,0.6234898018587336,0.6234898018587336
2011-01-03,0,0,1,1,8.050924,9.47025,43.7273,16.636703,1349,0,0,0,0.8660254037844387,0.8660254037844387,-0.22252093395631434,-0.22252093395631434
2011-01-04,0,0,1,1,8.200000000000001,10.6061,59.0435,10.739832,1562,0,0,0,0.8660254037844387,0.8660254037844387,-0.900968867902419,-0.900968867902419
2011-01-05,0,0,1,1,9.305237,11.4635,43.695699999999995,12.522300000000001,1600,0,0,0,0.8660254037844387,0.8660254037844387,-0.9009688679024191,-0.9009688679024191
2011-01-06,0,0,1,1,8.378268,11.66045,51.8261,6.0008684,1606,0,0,0,0.8660254037844387,0.8660254037844387,-0.2225209339563146,-0.2225209339563146
2011-01-07,0,0,1,2,8.057402,10.44195,49.8696,11.304642,1510,0,0,0,0.8660254037844387,0.8660254037844387,0.6234898018587334,0.6234898018587334
2011-01-08,0,0,0,2,6.765000000000001,8.1127,53.5833,17.875868,959,0,0,0,0.8660254037844387,0.8660254037844387,1.0,1.0
2011-01-09,0,0,0,1,5.671653,5.80875,43.416700000000006,24.25065,822,0,0,0,0.8660254037844387,0.8660254037844387,0.6234898018587336,0.6234898018587336
2011-01-10,0,0,1,1,6.184153,7.5443999999999996,48.2917,14.958889,1321,0,0,0,0.8660254037844387,0.8660254037844387,-0.22252093395631434,-0.22252093395631434
2011-01-11,0,0,1,2,6.9327309999999995,9.5732,68.6364,8.182844000000001,1263,0,0,0,0.8660254037844387,0.8660254037844387,-0.900968867902419,-0.900968867902419
2011-01-12,0,0,1,1,7.0818069999999995,8.02365,59.954499999999996,20.410009,1162,0,0,0,0.8660254037844387,0.8660254037844387,-0.9009688679024191,-0.9009688679024191
2011-01-13,0,0,1,1,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,1406,0,0,0,0.8660254037844387,0.8660254037844387,-0.2225209339563146,-0.2225209339563146
2011-01-14,0,0,1,1,6.59567,9.42065,53.7826,8.478716,1421,0,0,0,0.8660254037844387,0.8660254037844387,0.6234898018587334,0.6234898018587334
2011-01-15,0,0,0,2,9.566653,12.4056,49.875,10.583521,1248,0,0,0,0.8660254037844387,0.8660254037844387,1.0,1.0
2011-01-16,0,0,0,1,9.498347,11.71085,48.375,12.625010999999999,1204,0,0,0,0.8660254037844387,0.8660254037844387,0.6234898018587336,0.6234898018587336
2011-01-17,0,1,0,2,7.209153,8.838550000000001,53.75,12.999139,1000,0,0,0,0.8660254037844387,0.8660254037844387,-0.22252093395631434,-0.22252093395631434
2011-01-18,0,0,1,2,8.883347,11.61665,86.16669999999999,9.833924999999999,683,0,0,0,0.8660254037844387,0.8660254037844387,-0.900968867902419,-0.900968867902419
2011-01-19,0,0,1,2,11.979134,14.921100000000001,74.1739,13.957239,1650,0,0,0,0.8660254037844387,0.8660254037844387,-0.9009688679024191,-0.9009688679024191
2011-01-20,0,0,1,2,10.728347,12.7525,53.833299999999994,13.125568,1927,0,0,0,0.8660254037844387,0.8660254037844387,-0.2225209339563146,-0.2225209339563146
2011-01-21,0,0,1,1,7.2775,7.89165,45.7083,23.667214,1543,0,0,0,0.8660254037844387,0.8660254037844387,0.6234898018587334,0.6234898018587334
2011-01-22,0,0,0,1,2.4243464,3.9534800000000003,40.0,11.52199,981,0,0,0,0.8660254037844387,0.8660254037844387,1.0,1.0
2011-01-23,0,0,0,1,3.9573897000000002,4.941955,43.6522,16.5222,986,0,0,0,0.8660254037844387,0.8660254037844387,0.6234898018587336,0.6234898018587336
2011-01-24,0,0,1,1,3.9930433,5.8965,49.173899999999996,10.60811,1416,0,0,0,0.8660254037844387,0.8660254037844387,-0.22252093395631434,-0.22252093395631434
2011-01-25,0,0,1,2,9.162598000000001,11.7263,61.695699999999995,8.696332,1985,0,0,0,0.8660254037844387,0.8660254037844387,-0.900968867902419,-0.900968867902419
2011-01-26,0,0,1,3,8.9175,10.18,86.25,19.68795,506,0,0,0,0.8660254037844387,0.8660254037844387,-0.9009688679024191,-0.9009688679024191
2011-01-27,0,0,1,1,7.995,10.985,68.75,7.627078999999999,431,0,0,0,0.8660254037844387,0.8660254037844387,-0.2225209339563146,-0.2225209339563146
2011-01-28,0,0,1,2,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,1167,0,0,0,0.8660254037844387,0.8660254037844387,0.6234898018587334,0.6234898018587334
2011-01-29,0,0,0,1,8.057402,10.606300000000001,65.17389999999999,9.739455,1098,0,0,0,0.8660254037844387,0.8660254037844387,1.0,1.0
2011-01-30,0,0,0,1,8.877402,12.5161,72.2174,4.956834199999999,1096,0,0,0,0.8660254037844387,0.8660254037844387,0.6234898018587336,0.6234898018587336
2011-01-31,0,0,1,2,7.414153,9.3125,60.375,12.541864,1501,0,0,0,0.8660254037844387,0.8660254037844387,-0.22252093395631434,-0.22252093395631434
2011-02-01,0,0,1,2,7.8791340000000005,11.7265,82.9565,3.565271,1360,0,0,0,0.5000000000000001,0.5000000000000001,-0.900968867902419,-0.900968867902419
2011-02-02,0,0,1,2,10.66,12.72085,77.5417,17.708636,1526,0,0,0,0.5000000000000001,0.5000000000000001,-0.9009688679024191,-0.9009688679024191
2011-02-03,0,0,1,1,7.665237,8.8939,43.7826,18.609384,1550,0,0,0,0.5000000000000001,0.5000000000000001,-0.2225209339563146,-0.2225209339563146
2011-02-04,0,0,1,2,8.663464,11.429350000000001,58.521699999999996,8.565213,1708,0,0,0,0.5000000000000001,0.5000000000000001,0.6234898018587334,0.6234898018587334
2011-02-05,0,0,0,2,9.566653,12.152899999999999,92.91669999999999,10.792293,1005,0,0,0,0.5000000000000001,0.5000000000000001,1.0,1.0
2011-02-06,0,0,0,1,11.719153,14.58355,56.833299999999994,9.5006,1623,0,0,0,0.5000000000000001,0.5000000000000001,0.6234898018587336,0.6234898018587336
2011-02-07,0,0,1,1,11.138347,15.1829,73.83330000000001,3.0423561,1712,0,0,0,0.5000000000000001,0.5000000000000001,-0.22252093395631434,-0.22252093395631434
2011-02-08,0,0,1,1,9.054153,9.9123,53.7917,24.25065,1530,0,0,0,0.5000000000000001,0.5000000000000001,-0.900968867902419,-0.900968867902419
2011-02-09,0,0,1,2,5.526102999999999,7.21415,49.4783,12.652213,1605,0,0,0,0.5000000000000001,0.5000000000000001,-0.9009688679024191,-0.9009688679024191
2011-02-10,0,0,1,1,5.918268,7.477399999999999,43.7391,14.869645,1538,0,0,0,0.5000000000000001,0.5000000000000001,-0.2225209339563146,-0.2225209339563146
2011-02-11,0,0,1,1,7.752731000000001,10.67545,50.6364,7.272849999999999,1746,0,0,0,0.5000000000000001,0.5000000000000001,0.6234898018587334,0.6234898018587334
2011-02-12,0,0,0,1,9.1225,11.6477,54.4167,13.625589,1472,0,0,0,0.5000000000000001,0.5000000000000001,1.0,1.0
2011-02-13,0,0,0,1,12.977402000000001,16.20565,45.7391,17.479160999999998,1589,0,0,0,0.5000000000000001,0.5000000000000001,0.6234898018587336,0.6234898018587336
2011-02-14,0,0,1,1,17.015,19.9175,37.583299999999994,27.999836,1913,0,0,0,0.5000000000000001,0.5000000000000001,-0.22252093395631434,-0.22252093395631434
2011-02-15,0,0,1,1,10.909567000000001,12.7137,31.434800000000003,19.522058,1815,0,0,0,0.5000000000000001,0.5000000000000001,-0.900968867902419,-0.900968867902419
2011-02-16,0,0,1,1,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,2115,0,0,0,0.5000000000000001,0.5000000000000001,-0.9009688679024191,-0.9009688679024191
